# Numerical alpha — population mean and per-glass
dPdT  2.99168696416
K     25.070961507
alpha 0.119328768596
# per-glass: glass  dPdT  K  alpha_numerical
glass_0  2.30996066477  25.13947626  0.091885791131
glass_1  3.53628354972  24.93103854  0.141842608925
glass_2  3.64548705368  24.87554819  0.146549013748
glass_3  2.74572644952  24.98168287  0.109909587109
glass_4  1.79288009886  25.17090045  0.0712282861085
glass_5  3.73441113651  25.13051624  0.148600653518
glass_6  3.27293784975  25.23917343  0.129676903201
glass_7  2.44854664054  25.09090026  0.0975870381361
glass_8  4.10092561255  25.02117307  0.163898215367
glass_9  1.37038368099  25.12920576  0.0545335055186
