# glass   K              alpha_theory   alpha_harm     alpha_anharm
     0       25.139476     +0.18552822     +0.20723684    -0.021708626
     1       24.931039     +0.18557662     +0.20936165     -0.02378503
     2       24.875548     +0.18717926     +0.20972481    -0.022545549
     3       24.981683     +0.18753577     +0.20909784    -0.021562075
     4         25.1709     +0.18853839     +0.20731221     -0.01877382
     5       25.130516     +0.18492201     +0.20779069    -0.022868685
     6       25.239173     +0.18430469     +0.20623884    -0.021934149
     7         25.0909     +0.18474126     +0.20746699    -0.022725733
     8       25.021173     +0.18636054      +0.2083501    -0.021989565
     9       25.129206     +0.18571079     +0.20778623    -0.022075447
