# Numerical alpha — per-glass mean and per-glass values
dPdT  2.09473359321
K     25.070961507
alpha 0.0835521841723
# per-glass: glass  dPdT  K  alpha_numerical
glass_0  3.98609429786  25.13947626  0.158559162356
glass_1  3.13628628377  24.93103854  0.125798461173
glass_2  3.94581812102  24.87554819  0.158622358425
glass_3  4.18745457531  24.98168287  0.167620996436
glass_4  4.03159478802  25.17090045  0.160168874214
glass_5  10.6039103356  25.13051624  0.421953541833
glass_6  3.90832886987  25.23917343  0.154851698322
glass_7  4.04377994102  25.09090026  0.1611651993
glass_8  4.50844102621  25.02117307  0.180185038231
glass_9  4.01027611017  25.12920576  0.159586265816
