# Format: glass_N  alpha_harmonic  alpha_anharmonic  alpha_total  K
# (this format matches what thermal_expansion_lj_cleaned.ipynb expects)
glass_0     +0.20723684    -0.021708626     +0.18552822       25.139476
glass_1     +0.20936165     -0.02378503     +0.18557662       24.931039
glass_2     +0.20972481    -0.022545549     +0.18717926       24.875548
glass_3     +0.20909784    -0.021562075     +0.18753577       24.981683
glass_4     +0.20731221     -0.01877382     +0.18853839         25.1709
glass_5     +0.20779069    -0.022868685     +0.18492201       25.130516
glass_6     +0.20623884    -0.021934149     +0.18430469       25.239173
glass_7     +0.20746699    -0.022725733     +0.18474126         25.0909
glass_8      +0.2083501    -0.021989565     +0.18636054       25.021173
glass_9     +0.20778623    -0.022075447     +0.18571079       25.129206
