# serial	pressure	u_per_N	G	K
0	18.5895423	5.67295634	14.85537882	85.71689719
1	18.59540176	5.675264399	14.71244063	85.74151648
2	18.59906726	5.676743536	15.08427129	85.75715062
3	18.60966635	5.68022532	14.70688217	85.80235626
4	18.59503587	5.67519743	14.76867437	85.74001269
5	18.59471496	5.675127476	14.39145342	85.73755965
6	18.60456387	5.678620337	14.51370981	85.78127569
7	18.59424209	5.674856837	15.05659411	85.73713821
8	18.59254437	5.673813723	14.83152081	85.73131127
9	18.59673364	5.675411552	14.58758852	85.74740186
